id,category,formula,config,outcome,n_valid_assignments,n_vars,n_clauses,n_qubits,n_ancillas,mcx_count,depth,build_time,n_attempts,total_sim_time,total_iterations,wall_time
unit1,unit_clause,"A && (!A || B) && (!B || C)",none,sat,1,3,3,7,4,1,15,0.18864140799996676,1,0.16066291900006036,1,2.068
unit1,unit_clause,"A && (!A || B) && (!B || C)",tautology,sat,1,3,3,7,4,1,15,0.12916857099935442,1,0.11927822799952992,1,0.256
unit1,unit_clause,"A && (!A || B) && (!B || C)",unit_propagation,sat,1,3,3,7,4,1,7,0.129385283999909,1,0.1308729439997478,1,0.264
unit1,unit_clause,"A && (!A || B) && (!B || C)",pure_literal,sat,1,3,3,7,4,1,7,0.12732351700014988,1,0.14781181899979856,1,0.280
unit1,unit_clause,"A && (!A || B) && (!B || C)",tautology+unit_propagation,sat,1,3,3,7,4,1,7,0.11835798399988562,1,0.1296865729991623,1,0.251
unit1,unit_clause,"A && (!A || B) && (!B || C)",tautology+pure_literal,sat,1,3,3,7,4,1,7,0.11827541599996039,1,0.12214229900018836,1,0.244
unit1,unit_clause,"A && (!A || B) && (!B || C)",unit_propagation+pure_literal,sat,1,3,3,7,4,1,7,0.12515459099995496,1,0.1234188529997482,1,0.252
unit1,unit_clause,"A && (!A || B) && (!B || C)",full,sat,1,3,3,7,4,1,7,0.13072466399989935,1,0.12978588299938565,1,0.264
unit2,unit_clause,"A && !B && (A || B || C)",none,sat,2,3,3,7,4,3,13,0.12160829299955367,1,0.12688605499988626,1,0.252
unit2,unit_clause,"A && !B && (A || B || C)",tautology,sat,2,3,3,7,4,3,13,0.11855532200024754,1,0.12590764000015042,1,0.248
unit2,unit_clause,"A && !B && (A || B || C)",unit_propagation,sat,1,2,2,5,3,0,7,0.12230634299976373,1,0.16318461099945125,1,0.288
unit2,unit_clause,"A && !B && (A || B || C)",pure_literal,sat,1,3,3,7,4,1,7,0.12099910300003103,1,0.1394671030002428,1,0.263
unit2,unit_clause,"A && !B && (A || B || C)",tautology+unit_propagation,sat,1,2,2,5,3,0,7,0.11783537199971761,1,0.12329120300000795,1,0.244
unit2,unit_clause,"A && !B && (A || B || C)",tautology+pure_literal,sat,1,3,3,7,4,1,7,0.11793817300076626,1,0.12678186199991615,1,0.248
unit2,unit_clause,"A && !B && (A || B || C)",unit_propagation+pure_literal,sat,1,2,2,5,3,0,7,0.11604507799984276,1,0.1249760270002298,1,0.244
unit2,unit_clause,"A && !B && (A || B || C)",full,sat,1,2,2,5,3,0,7,0.12204686299992318,1,0.12334073900001385,1,0.248
pure1,pure_literal,"(A || B) && (A || C) && (B || C)",none,sat,3,3,3,7,4,1,11,0.14462123200064525,1,0.1298997039993992,1,0.279
pure1,pure_literal,"(A || B) && (A || C) && (B || C)",tautology,sat,4,3,3,7,4,1,11,0.1177146050004012,1,0.13127820099998644,1,0.253
